"GEOID","census_tract","borough","total_population"
"36005039100","Census Tract 391, Bronx County, New York"," Bronx County",6808
"36005039200","Census Tract 392, Bronx County, New York"," Bronx County",1750
"36005039300","Census Tract 393, Bronx County, New York"," Bronx County",8433
"36005039400","Census Tract 394, Bronx County, New York"," Bronx County",4961
"36005039500","Census Tract 395, Bronx County, New York"," Bronx County",3980
"36005039600","Census Tract 396, Bronx County, New York"," Bronx County",4287
"36005039700","Census Tract 397, Bronx County, New York"," Bronx County",4106
"36005039800","Census Tract 398, Bronx County, New York"," Bronx County",2769
"36005039901","Census Tract 399.01, Bronx County, New York"," Bronx County",5168
"36005039902","Census Tract 399.02, Bronx County, New York"," Bronx County",5156
"36005040100","Census Tract 401, Bronx County, New York"," Bronx County",5088
"36005040302","Census Tract 403.02, Bronx County, New York"," Bronx County",4151
"36005040303","Census Tract 403.03, Bronx County, New York"," Bronx County",4726
"36005040304","Census Tract 403.04, Bronx County, New York"," Bronx County",4229
"36005040400","Census Tract 404, Bronx County, New York"," Bronx County",2818
"36005040501","Census Tract 405.01, Bronx County, New York"," Bronx County",4416
"36005040502","Census Tract 405.02, Bronx County, New York"," Bronx County",5937
"36005040600","Census Tract 406, Bronx County, New York"," Bronx County",3635
"36005040701","Census Tract 407.01, Bronx County, New York"," Bronx County",3193
"36005040702","Census Tract 407.02, Bronx County, New York"," Bronx County",7800
"36005040800","Census Tract 408, Bronx County, New York"," Bronx County",4557
"36005040900","Census Tract 409, Bronx County, New York"," Bronx County",3048
"36005041100","Census Tract 411, Bronx County, New York"," Bronx County",2907
"36005041300","Census Tract 413, Bronx County, New York"," Bronx County",7561
"36005041400","Census Tract 414, Bronx County, New York"," Bronx County",4714
"36005041500","Census Tract 415, Bronx County, New York"," Bronx County",5874
"36005041800","Census Tract 418, Bronx County, New York"," Bronx County",4276
"36005041900","Census Tract 419, Bronx County, New York"," Bronx County",6951
"36005042000","Census Tract 420, Bronx County, New York"," Bronx County",3516
"36005042100","Census Tract 421, Bronx County, New York"," Bronx County",5654
"36005042200","Census Tract 422, Bronx County, New York"," Bronx County",3563
"36005042300","Census Tract 423, Bronx County, New York"," Bronx County",4485
"36005042400","Census Tract 424, Bronx County, New York"," Bronx County",2686
"36005042500","Census Tract 425, Bronx County, New York"," Bronx County",6134
"36005042600","Census Tract 426, Bronx County, New York"," Bronx County",6694
"36005042800","Census Tract 428, Bronx County, New York"," Bronx County",2025
"36005042901","Census Tract 429.01, Bronx County, New York"," Bronx County",4055
"36005042902","Census Tract 429.02, Bronx County, New York"," Bronx County",4621
"36005043000","Census Tract 430, Bronx County, New York"," Bronx County",3321
"36005043100","Census Tract 431, Bronx County, New York"," Bronx County",10325
"36005043400","Census Tract 434, Bronx County, New York"," Bronx County",3837
"36005043500","Census Tract 435, Bronx County, New York"," Bronx County",52
"36005043600","Census Tract 436, Bronx County, New York"," Bronx County",2244
"36005044200","Census Tract 442, Bronx County, New York"," Bronx County",4071
