"GEOID","census_tract","borough","total_population","never_married","now_married","divorced"
36005020000,"Census Tract 200, Bronx County, New York"," Bronx County",4722,0.388186813186813,0.512087912087912,0.0667582417582418
36005020100,"Census Tract 201, Bronx County, New York"," Bronx County",4340,0.541519717858288,0.319653735171529,0.103558832959282
36005020200,"Census Tract 202, Bronx County, New York"," Bronx County",2232,0.335106382978723,0.485815602836879,0.132978723404255
36005020400,"Census Tract 204, Bronx County, New York"," Bronx County",3131,0.464962901896125,0.375515251442704,0.0964550700741962
36005020501,"Census Tract 205.01, Bronx County, New York"," Bronx County",7030,0.562465703310774,0.282787634900311,0.107554417413572
36005020502,"Census Tract 205.02, Bronx County, New York"," Bronx County",2123,0.556676557863501,0.244510385756677,0.129376854599407
36005020601,"Census Tract 206.01, Bronx County, New York"," Bronx County",2724,0.477661795407098,0.364091858037578,0.0559498956158664
36005020900,"Census Tract 209, Bronx County, New York"," Bronx County",4351,0.46883230904302,0.383084577114428,0.114135206321335
36005021001,"Census Tract 210.01, Bronx County, New York"," Bronx County",9254,0.437662872034015,0.383075024002195,0.118365107666987
36005021002,"Census Tract 210.02, Bronx County, New York"," Bronx County",6416,0.430377427629168,0.358922682301209,0.146207401978747
36005021100,"Census Tract 211, Bronx County, New York"," Bronx County",5506,0.529276985743381,0.353105906313646,0.0717922606924644
36005021200,"Census Tract 212, Bronx County, New York"," Bronx County",5257,0.372352539284901,0.44409018446823,0.108631291277613
36005021301,"Census Tract 213.01, Bronx County, New York"," Bronx County",1194,0.568586387434555,0.300523560209424,0.0973821989528796
36005021302,"Census Tract 213.02, Bronx County, New York"," Bronx County",6061,0.476474638512738,0.378012393848979,0.0658710121643333
36005021501,"Census Tract 215.01, Bronx County, New York"," Bronx County",4726,0.508047373215913,0.355602793805041,0.124810203461889
36005021502,"Census Tract 215.02, Bronx County, New York"," Bronx County",6013,0.537144128113879,0.335186832740214,0.0958629893238434
36005021601,"Census Tract 216.01, Bronx County, New York"," Bronx County",4137,0.498190591073583,0.363992762364294,0.0928829915560917
36005021602,"Census Tract 216.02, Bronx County, New York"," Bronx County",6243,0.425230890155237,0.357634112792297,0.159756337197878
36005021700,"Census Tract 217, Bronx County, New York"," Bronx County",5000,0.569669162038155,0.299686066167592,0.0992513885534895
36005021800,"Census Tract 218, Bronx County, New York"," Bronx County",6882,0.489513108614232,0.375093632958801,0.0833333333333333
36005021900,"Census Tract 219, Bronx County, New York"," Bronx County",1277,0.544230769230769,0.297115384615385,0.127884615384615
36005022000,"Census Tract 220, Bronx County, New York"," Bronx County",2176,0.632205513784461,0.258145363408521,0.0664160401002506
36005022101,"Census Tract 221.01, Bronx County, New York"," Bronx County",3884,0.447330447330447,0.3997113997114,0.0891053391053391
36005022102,"Census Tract 221.02, Bronx County, New York"," Bronx County",5010,0.515650296815974,0.391527253103076,0.0652995143011333
36005022200,"Census Tract 222, Bronx County, New York"," Bronx County",3414,0.395901939260885,0.464690815953165,0.0954994511525796
36005022300,"Census Tract 223, Bronx County, New York"," Bronx County",5108,0.514416943097729,0.303648890022965,0.109977034957897
36005022401,"Census Tract 224.01, Bronx County, New York"," Bronx County",2652,0.424354243542435,0.384225092250922,0.142527675276753
36005022403,"Census Tract 224.03, Bronx County, New York"," Bronx County",3502,0.43695652173913,0.428985507246377,0.0818840579710145
36005022404,"Census Tract 224.04, Bronx County, New York"," Bronx County",4187,0.429116524801879,0.438802465512181,0.0927502201350161
36005022500,"Census Tract 225, Bronx County, New York"," Bronx County",8066,0.505358338914936,0.353148024112525,0.119557937039518
36005022701,"Census Tract 227.01, Bronx County, New York"," Bronx County",5917,0.533291976840364,0.333746898263027,0.0928453267162945
36005022702,"Census Tract 227.02, Bronx County, New York"," Bronx County",1485,0.413793103448276,0.415435139573071,0.136288998357964
36005022703,"Census Tract 227.03, Bronx County, New York"," Bronx County",1871,0.415683553088133,0.446911866759195,0.073560027758501
36005022800,"Census Tract 228, Bronx County, New York"," Bronx County",6231,0.4246437888822,0.396949628737708,0.130242825607064
36005022901,"Census Tract 229.01, Bronx County, New York"," Bronx County",5568,0.507048984468339,0.381600955794504,0.0759856630824373
36005022902,"Census Tract 229.02, Bronx County, New York"," Bronx County",3386,0.532815533980583,0.359223300970874,0.0920388349514563
36005023000,"Census Tract 230, Bronx County, New York"," Bronx County",3334,0.349112426035503,0.511834319526627,0.0591715976331361
36005023100,"Census Tract 231, Bronx County, New York"," Bronx County",1594,0.549887471867967,0.306076519129782,0.0750187546886722
36005023200,"Census Tract 232, Bronx County, New York"," Bronx County",2704,0.424541607898449,0.459802538787024,0.0681711330512459
36005023301,"Census Tract 233.01, Bronx County, New York"," Bronx County",4356,0.468235294117647,0.387058823529412,0.117058823529412
36005023302,"Census Tract 233.02, Bronx County, New York"," Bronx County",3614,0.526140155728587,0.336670374490174,0.0778642936596218
36005023501,"Census Tract 235.01, Bronx County, New York"," Bronx County",3044,0.509615384615385,0.36747491638796,0.0739966555183947
36005023502,"Census Tract 235.02, Bronx County, New York"," Bronx County",4706,0.4088772845953,0.403655352480418,0.111488250652742
36005023600,"Census Tract 236, Bronx County, New York"," Bronx County",2275,0.539135514018692,0.328271028037383,0.0858644859813084
36005023702,"Census Tract 237.02, Bronx County, New York"," Bronx County",1216,0.594117647058824,0.273529411764706,0.0735294117647059
36005023703,"Census Tract 237.03, Bronx County, New York"," Bronx County",5014,0.535870755750274,0.323384446878423,0.102683461117196
36005023704,"Census Tract 237.04, Bronx County, New York"," Bronx County",3717,0.497301464919044,0.363916730917502,0.111410948342328
36005023800,"Census Tract 238, Bronx County, New York"," Bronx County",2567,0.409801876955162,0.431178310740355,0.123044838373306
36005023900,"Census Tract 239, Bronx County, New York"," Bronx County",8282,0.537933289731851,0.361183780248528,0.0709614126880314
36005024000,"Census Tract 240, Bronx County, New York"," Bronx County",3963,0.531968503937008,0.304566929133858,0.131968503937008
36005024100,"Census Tract 241, Bronx County, New York"," Bronx County",6324,0.50338206415012,0.384682522365263,0.0813877372899847
36005024300,"Census Tract 243, Bronx County, New York"," Bronx County",5748,0.543718361711919,0.335480901978831,0.0789231477220433
36005024400,"Census Tract 244, Bronx County, New York"," Bronx County",2551,0.3712,0.482133333333333,0.0618666666666667
36005024501,"Census Tract 245.01, Bronx County, New York"," Bronx County",5162,0.477548995286529,0.399404614239643,0.0848424708509055
36005024502,"Census Tract 245.02, Bronx County, New York"," Bronx County",3619,0.49683016349683,0.386386386386386,0.0640640640640641
36005024600,"Census Tract 246, Bronx County, New York"," Bronx County",2223,0.364402578086267,0.484382746653446,0.0862667327714427
36005024700,"Census Tract 247, Bronx County, New York"," Bronx County",1964,0.480867346938776,0.375,0.0931122448979592
36005024800,"Census Tract 248, Bronx County, New York"," Bronx County",3069,0.327975507079985,0.495981630309989,0.087256027554535
36005024900,"Census Tract 249, Bronx County, New York"," Bronx County",0,NA,NA,NA
36005025000,"Census Tract 250, Bronx County, New York"," Bronx County",2663,0.334905660377358,0.483962264150943,0.0566037735849057
36005025100,"Census Tract 251, Bronx County, New York"," Bronx County",6564,0.388247011952191,0.474701195219124,0.120119521912351
36005025200,"Census Tract 252, Bronx County, New York"," Bronx County",2692,0.424762765476728,0.423859014911884,0.0718481699051062
36005025300,"Census Tract 253, Bronx County, New York"," Bronx County",5952,0.545751633986928,0.308061002178649,0.0982570806100218
36005025400,"Census Tract 254, Bronx County, New York"," Bronx County",2200,0.349276974416018,0.479421579532814,0.0728587319243604
36005025500,"Census Tract 255, Bronx County, New York"," Bronx County",5874,0.456883509833585,0.431597147179598,0.0741301059001513
36005025600,"Census Tract 256, Bronx County, New York"," Bronx County",1831,0.442789438050102,0.409614082599865,0.0785375761679079
36005025700,"Census Tract 257, Bronx County, New York"," Bronx County",1728,0.611147116007777,0.263123784834738,0.0907323395981854
36005026100,"Census Tract 261, Bronx County, New York"," Bronx County",1958,0.401510749564207,0.400929692039512,0.0987797791981406
36005026300,"Census Tract 263, Bronx County, New York"," Bronx County",6456,0.483054074638233,0.33987052551409,0.106054836252856
36005026400,"Census Tract 264, Bronx County, New York"," Bronx County",5842,0.353926701570681,0.521884816753927,0.0850261780104712
36005026500,"Census Tract 265, Bronx County, New York"," Bronx County",7009,0.502673796791444,0.389636732435921,0.077079107505071
36005026601,"Census Tract 266.01, Bronx County, New York"," Bronx County",3035,0.391647855530474,0.382994732881866,0.136192626034612
36005026602,"Census Tract 266.02, Bronx County, New York"," Bronx County",5769,0.407290349768226,0.352928782132322,0.155710071639275
36005026701,"Census Tract 267.01, Bronx County, New York"," Bronx County",3659,0.466556291390728,0.418543046357616,0.0642384105960265
36005026702,"Census Tract 267.02, Bronx County, New York"," Bronx County",6824,0.458002584456341,0.388406867269706,0.11390068303489
36005026900,"Census Tract 269, Bronx County, New York"," Bronx County",3862,0.485497692814766,0.32860909690178,0.115359261700725
36005027300,"Census Tract 273, Bronx County, New York"," Bronx County",8113,0.529604238080399,0.320816453723902,0.110158928014958
36005027401,"Census Tract 274.01, Bronx County, New York"," Bronx County",4576,0.32966470437676,0.521883798310724,0.0616841566419248
36005027402,"Census Tract 274.02, Bronx County, New York"," Bronx County",3878,0.266017587939698,0.481155778894472,0.118090452261307
36005027600,"Census Tract 276, Bronx County, New York"," Bronx County",63,0.543478260869565,0.456521739130435,0
