"BoroCT2010","census_tract","borough","total_population","data"
365028900,"Census Tract 289, Bronx County, New York"," Bronx County",4326,4326
365029301,"Census Tract 293.01, Bronx County, New York"," Bronx County",1989,1989
365029302,"Census Tract 293.02, Bronx County, New York"," Bronx County",5597,5597
365029500,"Census Tract 295, Bronx County, New York"," Bronx County",4725,4725
365029600,"Census Tract 296, Bronx County, New York"," Bronx County",1660,1660
365029700,"Census Tract 297, Bronx County, New York"," Bronx County",3749,3749
365030000,"Census Tract 300, Bronx County, New York"," Bronx County",5801,5801
365030100,"Census Tract 301, Bronx County, New York"," Bronx County",1308,1308
365030200,"Census Tract 302, Bronx County, New York"," Bronx County",9607,9607
365030701,"Census Tract 307.01, Bronx County, New York"," Bronx County",5248,5248
365030900,"Census Tract 309, Bronx County, New York"," Bronx County",3896,3896
365031000,"Census Tract 310, Bronx County, New York"," Bronx County",4869,4869
365031200,"Census Tract 312, Bronx County, New York"," Bronx County",2015,2015
365031400,"Census Tract 314, Bronx County, New York"," Bronx County",2300,2300
365031600,"Census Tract 316, Bronx County, New York"," Bronx County",1956,1956
365031800,"Census Tract 318, Bronx County, New York"," Bronx County",2252,2252
365031900,"Census Tract 319, Bronx County, New York"," Bronx County",645,645
365032300,"Census Tract 323, Bronx County, New York"," Bronx County",4595,4595
365032400,"Census Tract 324, Bronx County, New York"," Bronx County",2954,2954
365032600,"Census Tract 326, Bronx County, New York"," Bronx County",3576,3576
365032800,"Census Tract 328, Bronx County, New York"," Bronx County",4260,4260
365033000,"Census Tract 330, Bronx County, New York"," Bronx County",5697,5697
365033201,"Census Tract 332.01, Bronx County, New York"," Bronx County",4125,4125
365033202,"Census Tract 332.02, Bronx County, New York"," Bronx County",4207,4207
365033400,"Census Tract 334, Bronx County, New York"," Bronx County",1441,1441
365033500,"Census Tract 335, Bronx County, New York"," Bronx County",2207,2207
365033600,"Census Tract 336, Bronx County, New York"," Bronx County",6613,6613
365033700,"Census Tract 337, Bronx County, New York"," Bronx County",2277,2277
