"GEOID","census_tract","borough","total_population","non_family"
36005026602,"Census Tract 266.02, Bronx County, New York"," Bronx County",5769,0.432635322007112
36005026701,"Census Tract 267.01, Bronx County, New York"," Bronx County",3659,0.436335403726708
36005026702,"Census Tract 267.02, Bronx County, New York"," Bronx County",6824,0.283409184940008
36005026900,"Census Tract 269, Bronx County, New York"," Bronx County",3862,0.354485776805252
36005027300,"Census Tract 273, Bronx County, New York"," Bronx County",8113,0.237547892720307
36005027401,"Census Tract 274.01, Bronx County, New York"," Bronx County",4576,0.321017565112053
36005027402,"Census Tract 274.02, Bronx County, New York"," Bronx County",3878,0.320276497695853
36005027600,"Census Tract 276, Bronx County, New York"," Bronx County",63,0.166666666666667
36005027700,"Census Tract 277, Bronx County, New York"," Bronx County",5892,0.310068649885584
36005027900,"Census Tract 279, Bronx County, New York"," Bronx County",6809,0.350479846449136
36005028100,"Census Tract 281, Bronx County, New York"," Bronx County",3974,0.499394673123487
36005028300,"Census Tract 283, Bronx County, New York"," Bronx County",3370,0.329430132708821
36005028400,"Census Tract 284, Bronx County, New York"," Bronx County",740,0.463414634146341
36005028500,"Census Tract 285, Bronx County, New York"," Bronx County",3233,0.470781352593565
36005028600,"Census Tract 286, Bronx County, New York"," Bronx County",1288,0.4
36005028700,"Census Tract 287, Bronx County, New York"," Bronx County",3281,0.331569664902998
36005028800,"Census Tract 288, Bronx County, New York"," Bronx County",3527,0.222611744084137
36005028900,"Census Tract 289, Bronx County, New York"," Bronx County",4326,0.439752252252252
36005029301,"Census Tract 293.01, Bronx County, New York"," Bronx County",1989,0.45
36005029302,"Census Tract 293.02, Bronx County, New York"," Bronx County",5597,0.49123490455785
36005029500,"Census Tract 295, Bronx County, New York"," Bronx County",4725,0.348063284233497
36005029600,"Census Tract 296, Bronx County, New York"," Bronx County",1660,0.529770992366412
36005029700,"Census Tract 297, Bronx County, New York"," Bronx County",3749,0.400388098318241
36005030000,"Census Tract 300, Bronx County, New York"," Bronx County",5801,0.468846153846154
36005030100,"Census Tract 301, Bronx County, New York"," Bronx County",1308,0.523809523809524
36005030200,"Census Tract 302, Bronx County, New York"," Bronx County",9607,0.472822216947543
36005030701,"Census Tract 307.01, Bronx County, New York"," Bronx County",5248,0.489068825910931
36005030900,"Census Tract 309, Bronx County, New York"," Bronx County",3896,0.42369020501139
36005031000,"Census Tract 310, Bronx County, New York"," Bronx County",4869,0.205957446808511
36005031200,"Census Tract 312, Bronx County, New York"," Bronx County",2015,0.183471074380165
36005031400,"Census Tract 314, Bronx County, New York"," Bronx County",2300,0.24813153961136
36005031600,"Census Tract 316, Bronx County, New York"," Bronx County",1956,0.2416
36005031800,"Census Tract 318, Bronx County, New York"," Bronx County",2252,0.159519725557461
36005031900,"Census Tract 319, Bronx County, New York"," Bronx County",645,NA
36005032300,"Census Tract 323, Bronx County, New York"," Bronx County",4595,0.561620469083156
36005032400,"Census Tract 324, Bronx County, New York"," Bronx County",2954,0.403465346534653
36005032600,"Census Tract 326, Bronx County, New York"," Bronx County",3576,0.301192842942346
36005032800,"Census Tract 328, Bronx County, New York"," Bronx County",4260,0.208977189109639
36005033000,"Census Tract 330, Bronx County, New York"," Bronx County",5697,0.294878170064644
36005033201,"Census Tract 332.01, Bronx County, New York"," Bronx County",4125,0.396852164137156
36005033202,"Census Tract 332.02, Bronx County, New York"," Bronx County",4207,0.402439024390244
36005033400,"Census Tract 334, Bronx County, New York"," Bronx County",1441,0.512396694214876
36005033500,"Census Tract 335, Bronx County, New York"," Bronx County",2207,0.441734417344173
36005033600,"Census Tract 336, Bronx County, New York"," Bronx County",6613,0.383587786259542
36005033700,"Census Tract 337, Bronx County, New York"," Bronx County",2277,0.340909090909091
36005033800,"Census Tract 338, Bronx County, New York"," Bronx County",4247,0.255350553505535
36005034000,"Census Tract 340, Bronx County, New York"," Bronx County",4582,0.404915155061439
36005034200,"Census Tract 342, Bronx County, New York"," Bronx County",2128,0.206239168110919
36005034300,"Census Tract 343, Bronx County, New York"," Bronx County",1755,0.300380228136882
36005034400,"Census Tract 344, Bronx County, New York"," Bronx County",2324,0.215789473684211
36005034500,"Census Tract 345, Bronx County, New York"," Bronx County",3461,0.430545454545455
36005034800,"Census Tract 348, Bronx County, New York"," Bronx County",7306,0.203632887189293
36005035000,"Census Tract 350, Bronx County, New York"," Bronx County",1781,0.223491027732463
36005035100,"Census Tract 351, Bronx County, New York"," Bronx County",3296,0.468839884947267
36005035600,"Census Tract 356, Bronx County, New York"," Bronx County",2367,0.160741885625966
36005035800,"Census Tract 358, Bronx County, New York"," Bronx County",7558,0.244133388225607
36005035900,"Census Tract 359, Bronx County, New York"," Bronx County",1960,0.332853025936599
36005036000,"Census Tract 360, Bronx County, New York"," Bronx County",3063,0.212812160694897
36005036100,"Census Tract 361, Bronx County, New York"," Bronx County",6099,0.267193308550186
36005036300,"Census Tract 363, Bronx County, New York"," Bronx County",7977,0.224634820371101
36005036400,"Census Tract 364, Bronx County, New York"," Bronx County",2389,0.282238442822384
36005036501,"Census Tract 365.01, Bronx County, New York"," Bronx County",3904,0.253048780487805
36005036502,"Census Tract 365.02, Bronx County, New York"," Bronx County",2002,0.334841628959276
36005036700,"Census Tract 367, Bronx County, New York"," Bronx County",2709,0.220364741641337
36005036800,"Census Tract 368, Bronx County, New York"," Bronx County",2186,0.345541401273885
36005036901,"Census Tract 369.01, Bronx County, New York"," Bronx County",2276,0.370801033591731
36005036902,"Census Tract 369.02, Bronx County, New York"," Bronx County",2236,0.275568181818182
36005037000,"Census Tract 370, Bronx County, New York"," Bronx County",2463,0.258793969849246
36005037100,"Census Tract 371, Bronx County, New York"," Bronx County",3908,0.615612063867534
36005037200,"Census Tract 372, Bronx County, New York"," Bronx County",2052,0.335684062059238
36005037300,"Census Tract 373, Bronx County, New York"," Bronx County",5463,0.354874651810585
36005037400,"Census Tract 374, Bronx County, New York"," Bronx County",3713,0.409432672590567
36005037504,"Census Tract 375.04, Bronx County, New York"," Bronx County",3690,0.369095276220977
36005037600,"Census Tract 376, Bronx County, New York"," Bronx County",2440,0.237170596393897
36005037800,"Census Tract 378, Bronx County, New York"," Bronx County",3233,0.237464522232734
36005037900,"Census Tract 379, Bronx County, New York"," Bronx County",5287,0.237066142763589
36005038000,"Census Tract 380, Bronx County, New York"," Bronx County",4755,0.335833814195037
36005038100,"Census Tract 381, Bronx County, New York"," Bronx County",6534,0.333183856502242
36005038200,"Census Tract 382, Bronx County, New York"," Bronx County",2666,0.235364396654719
36005038301,"Census Tract 383.01, Bronx County, New York"," Bronx County",4356,0.362491716368456
36005038302,"Census Tract 383.02, Bronx County, New York"," Bronx County",5941,0.277217206585236
36005038500,"Census Tract 385, Bronx County, New York"," Bronx County",5025,0.352831362787803
36005038600,"Census Tract 386, Bronx County, New York"," Bronx County",7477,0.309361189232624
36005038700,"Census Tract 387, Bronx County, New York"," Bronx County",3297,0.402210884353741
36005038800,"Census Tract 388, Bronx County, New York"," Bronx County",2471,0.268053855569155
36005038900,"Census Tract 389, Bronx County, New York"," Bronx County",5908,0.428820453224869
36005039000,"Census Tract 390, Bronx County, New York"," Bronx County",3191,0.292246520874752
36005039100,"Census Tract 391, Bronx County, New York"," Bronx County",6808,0.426451886392539
36005039200,"Census Tract 392, Bronx County, New York"," Bronx County",1750,0.350180505415162
36005039300,"Census Tract 393, Bronx County, New York"," Bronx County",8433,0.330106809078772
36005039400,"Census Tract 394, Bronx County, New York"," Bronx County",4961,0.32896379525593
36005039500,"Census Tract 395, Bronx County, New York"," Bronx County",3980,0.387698686938493
36005039600,"Census Tract 396, Bronx County, New York"," Bronx County",4287,0.316704459561602
36005039700,"Census Tract 397, Bronx County, New York"," Bronx County",4106,0.456106870229008
36005039800,"Census Tract 398, Bronx County, New York"," Bronx County",2769,0.291710388247639
36005039901,"Census Tract 399.01, Bronx County, New York"," Bronx County",5168,0.267314702308627
36005039902,"Census Tract 399.02, Bronx County, New York"," Bronx County",5156,0.339567504383401
36005040100,"Census Tract 401, Bronx County, New York"," Bronx County",5088,0.331387808041505
36005040302,"Census Tract 403.02, Bronx County, New York"," Bronx County",4151,0.353393981805458
36005040303,"Census Tract 403.03, Bronx County, New York"," Bronx County",4726,0.282017252820173
36005040304,"Census Tract 403.04, Bronx County, New York"," Bronx County",4229,0.262668918918919
36005040400,"Census Tract 404, Bronx County, New York"," Bronx County",2818,0.371628371628372
36005040501,"Census Tract 405.01, Bronx County, New York"," Bronx County",4416,0.273466371027347
36005040502,"Census Tract 405.02, Bronx County, New York"," Bronx County",5937,0.364197530864198
36005040600,"Census Tract 406, Bronx County, New York"," Bronx County",3635,0.337837837837838
36005040701,"Census Tract 407.01, Bronx County, New York"," Bronx County",3193,0.34625322997416
36005040702,"Census Tract 407.02, Bronx County, New York"," Bronx County",7800,0.405819295558959
36005040800,"Census Tract 408, Bronx County, New York"," Bronx County",4557,0.281540504648074
36005040900,"Census Tract 409, Bronx County, New York"," Bronx County",3048,0.439393939393939
36005041100,"Census Tract 411, Bronx County, New York"," Bronx County",2907,0.350923482849604
36005041300,"Census Tract 413, Bronx County, New York"," Bronx County",7561,0.390792291220557
36005041400,"Census Tract 414, Bronx County, New York"," Bronx County",4714,0.265436028007638
36005041500,"Census Tract 415, Bronx County, New York"," Bronx County",5874,0.442316258351893
36005041800,"Census Tract 418, Bronx County, New York"," Bronx County",4276,0.234375
36005041900,"Census Tract 419, Bronx County, New York"," Bronx County",6951,0.406497622820919
36005042000,"Census Tract 420, Bronx County, New York"," Bronx County",3516,0.471725125268432
36005042100,"Census Tract 421, Bronx County, New York"," Bronx County",5654,0.417341591233921
36005042200,"Census Tract 422, Bronx County, New York"," Bronx County",3563,0.315257352941176
36005042300,"Census Tract 423, Bronx County, New York"," Bronx County",4485,0.311554332874828
36005042400,"Census Tract 424, Bronx County, New York"," Bronx County",2686,0.220828105395232
36005042500,"Census Tract 425, Bronx County, New York"," Bronx County",6134,0.416742909423605
36005042600,"Census Tract 426, Bronx County, New York"," Bronx County",6694,0.188811188811189
36005042800,"Census Tract 428, Bronx County, New York"," Bronx County",2025,0.244807121661721
36005042901,"Census Tract 429.01, Bronx County, New York"," Bronx County",4055,0.309682804674457
36005042902,"Census Tract 429.02, Bronx County, New York"," Bronx County",4621,0.349246231155779
36005043000,"Census Tract 430, Bronx County, New York"," Bronx County",3321,0.250720461095101
36005043100,"Census Tract 431, Bronx County, New York"," Bronx County",10325,0.32979976442874
36005043400,"Census Tract 434, Bronx County, New York"," Bronx County",3837,0.270783847980998
36005043500,"Census Tract 435, Bronx County, New York"," Bronx County",52,0.235294117647059
36005043600,"Census Tract 436, Bronx County, New York"," Bronx County",2244,0.147776183644189
36005044200,"Census Tract 442, Bronx County, New York"," Bronx County",4071,0.375104427736007
36005044400,"Census Tract 444, Bronx County, New York"," Bronx County",3576,0.270973154362416
36005044800,"Census Tract 448, Bronx County, New York"," Bronx County",2181,0.232383808095952
36005044901,"Census Tract 449.01, Bronx County, New York"," Bronx County",1465,0.543933054393305
36005044902,"Census Tract 449.02, Bronx County, New York"," Bronx County",2031,0.420096852300242
36005045101,"Census Tract 451.01, Bronx County, New York"," Bronx County",1531,0.536745406824147
36005045102,"Census Tract 451.02, Bronx County, New York"," Bronx County",1893,0.50407450523865
36005045600,"Census Tract 456, Bronx County, New York"," Bronx County",3275,0.211498973305955
