"GEOID","census_tract","borough","total_population","two_three","four_five","sixplus"
36005020601,"Census Tract 206.01, Bronx County, New York"," Bronx County",2724,0.53516295025729,0.339622641509434,0.125214408233276
36005020900,"Census Tract 209, Bronx County, New York"," Bronx County",4351,0.562906724511931,0.343817787418655,0.0932754880694143
36005021001,"Census Tract 210.01, Bronx County, New York"," Bronx County",9254,0.613235294117647,0.311764705882353,0.075
36005021002,"Census Tract 210.02, Bronx County, New York"," Bronx County",6416,0.764061358655953,0.20891161431702,0.027027027027027
36005021100,"Census Tract 211, Bronx County, New York"," Bronx County",5506,0.577254901960784,0.31843137254902,0.104313725490196
36005021200,"Census Tract 212, Bronx County, New York"," Bronx County",5257,0.731741573033708,0.240168539325843,0.0280898876404494
36005021301,"Census Tract 213.01, Bronx County, New York"," Bronx County",1194,0.699059561128527,0.300940438871473,0
36005021302,"Census Tract 213.02, Bronx County, New York"," Bronx County",6061,0.57002271006813,0.342922028766086,0.0870552611657835
36005021501,"Census Tract 215.01, Bronx County, New York"," Bronx County",4726,0.574430823117338,0.352889667250438,0.0726795096322242
36005021502,"Census Tract 215.02, Bronx County, New York"," Bronx County",6013,0.637268847795164,0.337126600284495,0.0256045519203414
36005021601,"Census Tract 216.01, Bronx County, New York"," Bronx County",4137,0.719656283566058,0.241675617615467,0.0386680988184748
36005021602,"Census Tract 216.02, Bronx County, New York"," Bronx County",6243,0.646702047005307,0.288097043214556,0.0652009097801365
36005021700,"Census Tract 217, Bronx County, New York"," Bronx County",5000,0.573295985060691,0.394957983193277,0.0317460317460317
36005021800,"Census Tract 218, Bronx County, New York"," Bronx County",6882,0.643410852713178,0.260981912144703,0.0956072351421189
36005021900,"Census Tract 219, Bronx County, New York"," Bronx County",1277,0.593869731800766,0.306513409961686,0.0996168582375479
36005022000,"Census Tract 220, Bronx County, New York"," Bronx County",2176,0.284931506849315,0.602739726027397,0.112328767123288
36005022101,"Census Tract 221.01, Bronx County, New York"," Bronx County",3884,0.547669491525424,0.383474576271186,0.0688559322033898
36005022102,"Census Tract 221.02, Bronx County, New York"," Bronx County",5010,0.628239499553172,0.259159964253798,0.112600536193029
36005022200,"Census Tract 222, Bronx County, New York"," Bronx County",3414,0.620519159456119,0.310259579728059,0.069221260815822
36005022300,"Census Tract 223, Bronx County, New York"," Bronx County",5108,0.621103117505995,0.34052757793765,0.0383693045563549
36005022401,"Census Tract 224.01, Bronx County, New York"," Bronx County",2652,0.666666666666667,0.225378787878788,0.107954545454545
