"GEOID","census_tract","borough","total_population","disability"
36005023600,"Census Tract 236, Bronx County, New York"," Bronx County",2275,0.137582417582418
36005023702,"Census Tract 237.02, Bronx County, New York"," Bronx County",1216,0.189967105263158
36005023703,"Census Tract 237.03, Bronx County, New York"," Bronx County",5014,0.0586358197048265
36005023704,"Census Tract 237.04, Bronx County, New York"," Bronx County",3717,0.148506860371267
36005023800,"Census Tract 238, Bronx County, New York"," Bronx County",2567,0.127386053759252
36005023900,"Census Tract 239, Bronx County, New York"," Bronx County",8282,0.139821299203091
36005024000,"Census Tract 240, Bronx County, New York"," Bronx County",3963,0.0885692657077971
36005024100,"Census Tract 241, Bronx County, New York"," Bronx County",6324,0.16642891107941
36005024300,"Census Tract 243, Bronx County, New York"," Bronx County",5748,0.18910925539318
36005024400,"Census Tract 244, Bronx County, New York"," Bronx County",2551,0.112896903175225
36005024501,"Census Tract 245.01, Bronx County, New York"," Bronx County",5162,0.151491669895389
36005024502,"Census Tract 245.02, Bronx County, New York"," Bronx County",3619,0.120288248337029
36005024600,"Census Tract 246, Bronx County, New York"," Bronx County",2223,0.102564102564103
36005024700,"Census Tract 247, Bronx County, New York"," Bronx County",1964,0.140529531568228
36005024800,"Census Tract 248, Bronx County, New York"," Bronx County",3069,0.0942773294203962
36005024900,"Census Tract 249, Bronx County, New York"," Bronx County",0,NA
36005025000,"Census Tract 250, Bronx County, New York"," Bronx County",2663,0.113036925395629
36005025100,"Census Tract 251, Bronx County, New York"," Bronx County",6564,0.134216940889701
36005025200,"Census Tract 252, Bronx County, New York"," Bronx County",2692,0.109212481426449
36005025300,"Census Tract 253, Bronx County, New York"," Bronx County",5952,0.15455768583922
36005025400,"Census Tract 254, Bronx County, New York"," Bronx County",2200,0.145454545454545
36005025500,"Census Tract 255, Bronx County, New York"," Bronx County",5874,0.143003412969283
36005025600,"Census Tract 256, Bronx County, New York"," Bronx County",1831,0.113390313390313
36005025700,"Census Tract 257, Bronx County, New York"," Bronx County",1728,0.128472222222222
36005026100,"Census Tract 261, Bronx County, New York"," Bronx County",1958,0.10437532946758
36005026300,"Census Tract 263, Bronx County, New York"," Bronx County",6456,0.153362040410732
36005026400,"Census Tract 264, Bronx County, New York"," Bronx County",5842,0.131290653885656
36005026500,"Census Tract 265, Bronx County, New York"," Bronx County",7009,0.0719424460431655
36005026601,"Census Tract 266.01, Bronx County, New York"," Bronx County",3035,0.146293245469522
36005026602,"Census Tract 266.02, Bronx County, New York"," Bronx County",5769,0.213728549141966
36005026701,"Census Tract 267.01, Bronx County, New York"," Bronx County",3659,0.0986608362940694
36005026702,"Census Tract 267.02, Bronx County, New York"," Bronx County",6824,0.0822440887061242
36005026900,"Census Tract 269, Bronx County, New York"," Bronx County",3862,0.12739513205593
36005027300,"Census Tract 273, Bronx County, New York"," Bronx County",8113,0.0955349192214731
36005027401,"Census Tract 274.01, Bronx County, New York"," Bronx County",4576,0.143793706293706
36005027402,"Census Tract 274.02, Bronx County, New York"," Bronx County",3878,0.14413680781759
36005027600,"Census Tract 276, Bronx County, New York"," Bronx County",63,0.0476190476190476
36005027700,"Census Tract 277, Bronx County, New York"," Bronx County",5892,0.10081466395112
36005027900,"Census Tract 279, Bronx County, New York"," Bronx County",6809,0.106499608457322
36005028100,"Census Tract 281, Bronx County, New York"," Bronx County",3974,0.167385444743935
